Geneid	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
DDX11L1	0	0	0	0	0	0
WASH7P	19	9	19	11	17	8
MIR6859-1	0	0	0	0	0	0
RP11-34P13.3	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
RP11-34P13.7	0	0	0	0	0	0
RP11-34P13.8	0	0	0	0	0	0
CICP27	0	0	0	0	0	0
RP11-34P13.15	26	10	18	6	9	16
RP11-34P13.16	3	5	5	1	2	3
RP11-34P13.14	0	0	0	0	0	0
RP11-34P13.13	10	4	1	0	1	4
RNU6-1100P	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0
FO538757.3	0	0	0	0	0	0
FO538757.2	22	34	26	34	27	46
MIR6859-2	0	0	0	0	0	0
FO538757.1	0	0	0	0	0	0
AP006222.2	0	0	0	0	0	0
RPL23AP21	0	0	0	0	0	0
RPL23AP24	0	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0
RP4-669L17.10	2	0	3	0	1	1
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
SEPT14P13	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
RP4-669L17.8	0	0	0	0	0	0
U6	3	1	2	3	2	1
RP5-857K21.1	0	0	1	0	0	0
RP5-857K21.2	0	0	0	0	0	0
RP5-857K21.3	0	0	0	0	0	0
RP5-857K21.4	0	0	0	0	0	0
RP5-857K21.5	0	0	0	0	0	0
MTND1P23	7	6	3	7	1	4
MTND2P28	2419	1898	1486	2548	1799	1192
AC114498.1	0	0	0	0	0	0
RP5-857K21.6	221	188	208	240	124	140
MIR6723	0	0	0	0	0	0
RP5-857K21.7	34	70	39	56	44	44
MTATP8P1	2	9	3	5	3	4
MTATP6P1	10496	9799	7957	11520	10234	7382
RP5-857K21.11	50	61	41	48	33	40
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
CICP3	0	0	0	0	0	0
RP11-206L10.1	0	0	0	0	0	0
RP11-206L10.3	2	6	4	6	4	6
RNU6-1199P	0	1	2	0	1	0
RP11-206L10.5	0	0	0	0	0	0
RP11-206L10.4	0	0	1	0	0	0
RP11-206L10.2	8	7	7	6	2	8
RP11-206L10.9	6	3	6	7	2	4
RP11-206L10.8	4	5	2	5	5	9
FAM87B	1	1	0	1	1	1
LINC01128	244	242	229	261	336	211
LINC00115	15	10	18	19	17	11
FAM41C	0	0	0	0	0	0
TUBB8P11	0	0	0	1	1	0
RP11-54O7.16	2	2	2	4	2	1
RP11-54O7.1	1	3	2	4	1	0
RP11-54O7.2	0	0	0	0	0	0
RP11-54O7.3	10	7	14	10	6	7
SAMD11	12	6	6	3	4	3
NOC2L	718	668	553	873	605	494
KLHL17	45	40	32	35	48	35
AL645608.1	0	0	0	0	0	0
PLEKHN1	1	1	1	1	0	1
PERM1	1	2	2	1	2	1
RP11-54O7.17	0	0	0	0	0	0
HES4	1	1	1	0	1	0
ISG15	123	122	130	232	233	258
RP11-54O7.10	0	0	0	0	1	0
RP11-54O7.11	0	2	0	1	1	1
AGRN	29	21	26	26	45	30
RP11-54O7.14	0	0	0	0	0	0
RP11-465B22.3	14	12	30	8	10	56
RP11-54O7.18	0	0	0	0	1	1
RNF223	0	0	1	0	0	0
C1orf159	74	65	41	91	44	58
LINC01342	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	0	0
TTLL10-AS1	3	1	0	0	0	0
TTLL10	0	0	0	0	0	1
TNFRSF18	0	0	1	0	0	0
TNFRSF4	1	0	0	0	0	1
SDF4	133	174	123	195	194	158
B3GALT6	66	72	49	66	69	67
FAM132A	10	5	5	2	5	10
RP5-902P8.12	0	0	0	0	0	0
UBE2J2	291	303	315	413	208	276
RP5-902P8.10	0	0	0	0	0	0
SCNN1D	1	1	0	5	0	1
ACAP3	17	21	16	24	27	26
MIR6726	0	0	0	0	0	0
PUSL1	161	163	146	176	139	111
CPSF3L	1601	1719	1300	1881	2170	1347
MIR6727	0	0	0	0	0	0
RP5-890O3.9	18	25	16	25	10	13
CPTP	23	16	15	17	11	16
TAS1R3	1	0	0	0	0	0
DVL1	33	47	38	59	47	37
MIR6808	0	0	0	0	0	0
MXRA8	145	170	166	194	273	273
AURKAIP1	1112	1201	953	1310	788	991
RP5-890O3.3	0	1	3	1	0	4
CCNL2	2241	2104	1804	2269	2202	1962
RP4-758J18.2	307	270	201	241	418	156
MRPL20	3370	4110	3089	4302	3860	3110
RN7SL657P	0	0	0	0	0	0
RP4-758J18.13	21	17	21	9	21	19
ANKRD65	2	4	4	5	1	3
RP4-758J18.7	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0
RP4-758J18.10	0	2	0	0	1	0
VWA1	44	57	37	32	60	66
ATAD3C	17	11	10	7	8	12
ATAD3B	86	53	49	90	42	56
ATAD3A	52	50	36	67	48	36
TMEM240	2	2	1	2	1	2
SSU72	3700	3675	2787	4096	3786	2798
RP5-832C2.5	23	28	25	17	32	12
AL645728.1	0	0	0	0	0	0
RP11-345P4.11	0	0	0	0	0	0
Metazoa_SRP	229	192	134	177	145	189
C1orf233	13	9	10	13	8	2
RP11-345P4.9	55	71	59	60	65	65
MIB2	26	31	23	24	22	18
MMP23B	0	0	0	1	0	0
CDK11B	297	447	231	362	199	277
RP11-345P4.10	0	0	0	0	0	0
SLC35E2B	224	208	145	241	225	207
RP11-345P4.7	5	7	4	4	4	7
RP11-345P4.6	1	5	1	3	2	5
MMP23A	0	0	0	0	0	0
CDK11A	33	35	20	27	14	19
RP1-283E3.8	28	51	32	42	49	55
RP1-283E3.4	28	52	25	38	47	39
SLC35E2	46	41	31	34	48	37
NADK	168	194	154	174	199	119
GNB1	2832	3148	2667	3168	3725	2942
RP1-140A9.1	3	1	0	4	0	1
CALML6	0	0	0	0	1	0
TMEM52	15	9	19	26	14	7
CFAP74	1	2	3	5	2	0
RP11-547D24.1	0	1	0	0	0	0
GABRD	1	0	1	0	1	0
RP11-547D24.3	0	0	0	0	0	0
PRKCZ	22	15	18	10	11	14
RP5-892K4.1	2	1	0	1	2	3
RP11-181G12.2	6	3	6	2	2	5
FAAP20	130	155	131	207	133	137
RP11-181G12.4	0	0	0	0	0	0
AL590822.1	0	0	0	0	0	0
SKI	121	148	103	135	94	135
MORN1	105	124	95	98	155	147
RP4-713A8.1	0	0	0	0	0	0
RP4-740C4.5	7	5	9	6	5	4
RP4-740C4.7	13	14	13	16	14	8
RER1	1462	1745	1560	2175	1503	1795
PEX10	30	20	21	26	16	12
PLCH2	0	0	0	0	0	0
RP3-395M20.2	0	0	0	0	0	0
RP3-395M20.3	0	0	0	0	0	0
PANK4	83	74	81	112	96	83
HES5	0	0	0	0	0	0
RP3-395M20.12	0	0	0	0	0	0
RP3-395M20.8	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0
RP3-395M20.7	0	0	0	0	0	0
RP3-395M20.9	0	0	0	0	0	0
FAM213B	10	5	6	11	5	2
MMEL1	0	0	1	0	0	2
RP13-436F16.1	0	0	0	0	0	0
TTC34	0	0	0	1	0	0
RP11-740P5.2	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	0	0	0	1	0	0
PRDM16	3	4	3	8	7	3
RP1-163G9.2	0	0	0	0	0	0
RP11-193J6.1	0	0	0	0	0	0
RP11-22L13.1	0	2	0	1	1	0
ARHGEF16	28	21	27	32	42	28
RP11-168F9.2	0	0	0	2	0	0
MEGF6	3	2	1	2	5	2
MIR551A	0	0	0	0	0	0
RP11-46F15.2	0	0	0	1	0	2
TPRG1L	168	160	148	152	181	138
WRAP73	238	239	221	289	243	194
TP73	4	2	3	2	2	0
RP5-1092A11.5	1	0	0	0	0	0
RP5-1092A11.2	0	0	0	0	0	0
TP73-AS1	154	149	142	152	208	138
CCDC27	1	0	1	0	0	0
SMIM1	5	7	7	2	5	8
LRRC47	549	559	477	618	562	453
RN7SL574P	2	3	3	1	2	4
RP1-286D6.5	0	1	2	0	2	2
CEP104	272	258	200	239	261	203
DFFB	141	119	90	153	163	96
C1orf174	3201	3754	3183	4395	4276	2983
LINC01134	16	8	5	13	12	8
LINC01346	0	0	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0
EEF1DP6	0	1	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0
AJAP1	26	10	23	6	4	11
AL137795.1	0	0	0	0	0	0
RP11-542C10.1	0	2	5	0	0	1
RP1-58B11.1	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0
AL356693.1	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	78	41	35	51	63	60
AL356261.1	0	0	0	0	0	0
KCNAB2	20	13	14	13	12	10
CHD5	7	0	1	0	0	2
RPL22	1847	2849	2108	2429	1737	2419
RP1-120G22.11	1	1	3	5	1	2
RNF207	29	15	12	32	49	35
ICMT	731	741	556	765	809	575
LINC00337	38	41	34	39	34	49
HES3	0	0	0	0	0	0
GPR153	8	7	13	5	2	9
ACOT7	2141	2029	1753	2723	2751	1589
RP1-202O8.3	0	0	0	0	0	0
HES2	5	3	5	0	1	5
ESPN	3	2	4	0	0	1
MIR4252	0	0	0	0	0	0
RP1-202O8.2	0	0	0	0	0	0
TNFRSF25	48	40	48	25	46	33
PLEKHG5	18	14	15	16	23	21
NOL9	1709	2152	1471	2063	2205	1549
RNU6-731P	0	2	3	0	4	1
