Hyphen	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
A1BG	4	9	2	9	7	7
A1CF	2	0	5	0	3	7
A2M	11	15	16	8	15	18
A2ML1	50	30	65	4	6	9
A3GALT2	0	0	0	0	0	0
A4GALT	8	4	3	1	1	3
A4GNT	0	0	0	0	0	3
AAAS	2792	3196	2672	3288	4377	2859
AACS	681	634	570	702	851	610
AADAC	0	4	13	9	46	27
AADACL2	0	0	0	0	0	0
AADACL3	2	0	1	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	699	600	628	681	492	492
AAGAB	4394	4275	3612	3724	3899	2906
AAK1	877	934	686	1031	1123	910
AAMDC	278	507	374	1335	969	916
AAMP	4947	4768	4045	4856	6841	3812
AANAT	5	1	2	3	1	2
AAR2	3523	3601	2771	3651	3402	2589
AARD	16	16	27	29	14	48
AARS2	244	245	170	281	254	178
AARSD1	167	136	96	118	136	133
AASDH	768	874	759	709	695	747
AASDHPPT	4506	3885	4515	6003	4038	3505
AASS	2825	3311	2863	3588	3856	2938
AATF	811	734	612	711	545	476
AATK	1	1	0	0	0	1
ABAT	116	91	63	162	184	121
ABCA1	946	808	1534	2577	5067	3155
ABCA10	1	1	0	8	3	1
ABCA12	5	4	4	2	5	6
ABCA13	13	11	13	4	11	5
ABCA2	6	6	6	6	8	10
ABCA3	4	2	2	1	1	1
ABCA4	59	95	54	252	297	227
ABCA5	239	181	203	157	174	225
ABCA6	1	6	6	3	0	0
ABCA7	38	55	107	31	51	139
ABCA8	7	10	12	37	20	20
ABCA9	1	4	4	12	11	13
ABCB1	14	17	6	52	15	4
ABCB10	320	227	363	380	270	187
ABCB11	0	0	2	2	0	0
ABCB4	51	56	24	170	80	114
ABCB5	4	4	3	0	0	2
ABCB6	42	39	28	48	75	50
ABCB7	2328	2584	2389	2304	2427	2071
ABCB8	177	125	113	248	181	144
ABCB9	41	35	30	41	64	54
ABCC1	54	39	40	32	85	45
ABCC10	183	192	162	266	345	219
ABCC11	4	10	2	4	4	3
ABCC12	8	9	8	1	3	2
ABCC2	17	27	18	12	29	22
ABCC3	7	11	16	9	1	4
ABCC4	520	557	346	451	412	370
ABCC5	1775	1927	1428	1549	1738	1308
ABCC6	0	0	2	1	0	1
ABCC8	10	3	1	5	2	0
ABCC9	32	22	30	19	24	34
ABCD1	27	18	10	46	20	25
ABCD2	7	5	7	12	7	8
ABCD3	2658	2511	2203	3252	2532	1853
ABCD4	1496	1382	1233	1417	1842	1440
ABCE1	7835	7958	7359	11625	7865	6837
ABCF1	2160	2457	1908	2228	2063	1813
ABCF2	2723	3147	2241	3441	3639	2212
ABCF3	1777	1777	1355	1865	2527	1433
ABCG1	7	6	5	5	8	25
ABCG2	4751	5505	5120	2892	2376	2794
ABCG4	10	6	3	5	7	9
ABCG5	7	2	3	3	2	3
ABCG8	1	0	0	0	0	0
ABHD1	5	4	5	4	8	1
ABHD10	1561	1430	1821	2197	1737	1435
ABHD11	206	186	201	247	148	133
ABHD12	264	263	225	236	238	264
ABHD12B	922	485	1145	101	96	146
