Geneid	IWPHE1	IWPHE2	IWPHE3	57HED	60HED	67HED	57HER	60HER	67HER	57HPCD	60HPCD	67HPCD	57HPCR	60HPCR	67HPCR
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	15	14	15	6	4	15	9	13	16	2	10	13	15	24	10
MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
RP11-34P13.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0
RP11-34P13.15	16	4	12	14	7	12	11	2	11	23	14	13	35	31	20
RP11-34P13.16	7	7	5	4	4	1	0	0	1	0	6	3	5	4	4
RP11-34P13.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.13	3	2	2	0	0	1	2	3	3	4	1	3	11	9	4
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.2	24	24	21	8	8	16	14	14	25	10	20	20	16	18	22
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP006222.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPL23AP21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.10	0	1	4	1	2	2	1	6	1	1	1	2	1	2	4
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPT14P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U6	2	8	9	0	4	4	4	0	9	3	6	3	4	4	5
RP5-857K21.1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
RP5-857K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	1	1	2	0	1	3	4	0	0	0	2	2	1	1	1
MTND2P28	943	813	744	1676	1729	1531	1858	1844	1782	1009	1693	1064	1422	1327	1548
AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.6	94	69	86	74	105	80	84	105	90	106	155	118	135	111	140
MIR6723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.7	57	33	34	7	19	9	16	14	19	11	20	22	14	13	33
MTATP8P1	1	0	1	0	1	0	1	0	2	1	1	0	0	3	0
MTATP6P1	5188	4568	4442	5093	5618	4175	4714	5009	4626	4160	6681	4937	5297	5705	5655
RP5-857K21.11	28	12	43	16	33	11	16	16	19	16	31	18	16	26	33
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0
