gene	inverseRank
LONP2	-31.68
HGF	-30.49
DCN	-24.63
SSR3	-19.46
ENTPD3	-19.46
F11R	-15.29
PAMR1	-14.47
RACGAP1	-12.45
COL6A3	-11.99
SPTSSA	-11.45
RCAN1	-11.45
SHE	-10.87
HPGD	-10.00
NPY1R	-9.73
BMP5	-9.21
OIT3	-9.07
POSTN	-9.07
SGK1	-8.84
CAV1	-8.51
ANXA2	-8.17
CA2	-8.06
FCGR2B	-8.05
RDX	-7.93
DPP4	-7.93
PEA15	-7.70
ANXA6	-7.68
SLC39A2	-7.47
EGFLAM	-7.27
CRISPLD2	-7.13
CARHSP1	-7.04
JAM2	-7.04
SMS	-6.87
VPS41	-6.67
HNRNPK	-6.56
H6PD	-6.53
TFPI2	-6.34
ANXA1	-6.24
LYVE1	-6.24
ZNF562	-6.22
ENSA	-5.85
COL5A2	-5.77
ETS1	-5.71
TMSB4X	-5.71
ALCAM	-5.71
RGS5	-5.67
MAN2A1	-5.66
PLD1	-5.63
GAP43	-5.57
GPATCH2L	-5.57
STEAP1	-5.56
CYB5A	-5.51
PHLDB2	-5.47
PPIC	-5.41
DAB2	-5.38
TMEM167B	-5.35
STEAP2	-5.34
NRP2	-5.28
SPC24	-5.25
BMP4	-5.22
ATG12	-5.19
KLHL14	-5.15
S100A16	-5.15
COL21A1	-5.14
TM4SF18	-5.12
IL7R	-5.01
ITM2A	-4.98
FAM114A1	-4.98
ASXL3	-4.96
GINS1	-4.92
MFAP4	-4.90
ABCA8	-4.88
SEL1L3	-4.88
CTSV	-4.85
TUBA1A	-4.75
MYL6	-4.74
NTRK2	-4.73
HOXA13	-4.67
YAP1	-4.67
APCDD1	-4.64
CRHBP	-4.62
FOXP1	-4.60
S100A10	-4.60
SUPT4H1	-4.53
PPP1R8	-4.53
CXCL14	-4.51
JAG1	-4.51
PRDM1	-4.50
PCDH7	-4.50
MME	-4.49
GNG11	-4.40
PRCP	-4.38
MGST3	-4.36
KCNAB1	-4.34
TNFSF10	-4.34
RNF146	-4.33
CDKL1	-4.28
EDN1	-4.23
ARHGAP28	-4.20
S1PR3	-4.19
GJA1	-4.18
PIP5K1A	-4.14
HAS2	-4.10
TBX3	-4.10
SFXN3	-4.09
GAD1	-4.07
RGS4	-4.06
PLCG1	-4.04
ZNF714	-4.03
SRPX2	-4.00
PAG1	-3.95
GM2A	-3.94
CDK1	-3.88
DIO3	-3.85
LYRM9	-3.85
ST3GAL2	-3.85
