Gene	57HED	60HED	67HED	57HER	60HER	67HER	34+90+43-
A1BG	6	7	5	10	9	1	1
A1CF	3	4	2	3	3	3	1
A2M	3052	2599	2456	1931	2322	2730	10234
A2ML1	5	9	1	2	10	10	7
A3GALT2	0	0	0	0	1	0	0
A4GALT	0	0	0	0	0	0	2
A4GNT	1	0	0	1	1	2	0
AAAS	3030	3491	2387	2866	3006	2934	519
AACS	434	684	545	595	748	633	232
AADAC	2	0	0	0	0	0	2
AADACL2	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0
AADAT	297	212	192	349	254	263	331
AAGAB	1619	2041	1449	1635	1712	1434	102
AAK1	1208	1715	1326	1371	1472	1407	1677
AAMDC	287	323	249	279	306	292	23
AAMP	3548	3861	3069	3166	3718	3229	161
AANAT	0	1	5	1	1	0	0
AAR2	1963	2342	1889	1844	2184	2150	195
AARD	9	9	4	13	5	9	0
AARS2	118	121	109	150	159	115	127
AARSD1	85	103	99	85	67	81	23
AASDH	521	649	495	596	603	550	183
AASDHPPT	2159	2209	1927	2442	2193	2167	162
AASS	2919	3977	3134	3405	3647	3758	472
AATF	200	250	216	223	290	239	77
AATK	0	0	3	3	1	4	14
ABAT	47	33	35	45	40	30	10
ABCA1	6746	4947	4738	7276	4297	5291	1758
ABCA10	28	31	25	34	36	22	2
ABCA12	3	7	3	5	5	9	18
ABCA13	5	1	0	2	5	3	19
ABCA2	8	6	5	15	2	8	89
ABCA3	19	23	18	27	19	25	54
ABCA4	108	90	73	56	58	48	83
ABCA5	301	303	278	350	293	308	157
ABCA6	33	38	30	33	66	55	14
ABCA7	48	37	28	50	47	36	26
ABCA8	144	59	33	23	18	15	42
ABCA9	60	88	74	49	73	69	31
ABCB1	1	1	0	3	2	12	10
ABCB10	263	266	182	256	221	236	143
ABCB11	0	0	1	0	1	0	0
ABCB4	56	30	43	55	35	51	9
ABCB5	2	0	2	3	4	3	0
ABCB6	14	18	12	10	11	13	11
ABCB7	2967	3897	3353	3289	3809	3318	156
ABCB8	50	55	66	47	70	74	53
ABCB9	34	45	49	43	33	63	42
ABCC1	56	44	53	69	53	51	65
ABCC10	211	261	268	230	322	263	398
ABCC11	4	19	7	9	10	12	5
ABCC12	13	21	16	12	13	6	0
ABCC2	47	37	49	41	37	40	19
ABCC3	27	31	29	15	38	28	15
ABCC4	390	680	594	557	744	618	75
ABCC5	1199	1765	1380	1437	1592	1578	991
ABCC6	0	0	0	5	3	2	0
ABCC8	1	4	2	0	0	3	0
ABCC9	3	4	0	1	2	0	6
ABCD1	8	4	4	3	5	2	94
ABCD2	0	0	1	0	0	5	0
ABCD3	694	885	696	759	869	640	272
ABCD4	3007	3374	2832	3074	3230	3239	1298
ABCE1	2993	3330	2929	3122	3097	3239	403
ABCF1	733	946	744	794	825	913	134
ABCF2	1511	1875	1298	1560	1787	1740	266
ABCF3	1238	1675	1289	1089	1383	1300	241
ABCG1	38	17	24	47	18	21	545
ABCG2	154	78	82	153	100	102	203
ABCG4	2	0	0	1	0	0	9
ABCG5	4	3	6	5	8	4	2
ABCG8	1	5	0	0	0	2	0
ABHD1	21	21	16	21	20	14	72
ABHD10	1002	973	848	1048	1079	950	223
ABHD11	76	57	71	53	64	49	57
ABHD12	71	80	65	80	80	80	73
ABHD12B	8	3	3	8	7	13	8
ABHD13	323	370	330	399	387	353	56
ABHD14A	90	101	88	62	130	69	11
ABHD14B	271	219	242	309	332	325	121
ABHD15	24	35	25	28	24	17	5
ABHD16A	0	0	0	1	0	0	0
ABHD16B	0	0	0	0	0	0	0
ABHD17A	4	9	9	1	12	4	53
ABHD17B	205	223	183	202	157	186	281
ABHD17C	44	48	41	59	44	24	23
ABHD2	271	416	325	326	435	428	1212
ABHD3	115	114	106	60	105	102	35
ABHD4	1831	3007	1786	1524	2555	1964	198
ABHD5	233	448	300	289	437	309	140
ABHD6	125	128	99	122	147	108	60
ABHD8	0	5	4	3	3	1	18
ABI1	3380	4986	3674	3328	4413	3807	637
ABI2	2133	2961	2459	2287	3068	2656	2358
ABI3	182	176	226	124	217	203	379
ABI3BP	47	34	23	23	28	26	26
ABL1	215	314	272	320	348	282	1430
ABL2	1833	2374	2397	1942	1928	2348	1880
ABLIM1	1275	1539	1226	1761	1663	1764	3879
ABLIM2	0	4	1	5	4	1	46
ABLIM3	95	83	76	109	90	79	185
ABO	19	21	12	7	11	10	25
ABR	30	39	31	14	36	16	208
ABRA	95	133	66	60	110	59	27
ABRACL	4579	4568	3739	5052	3840	4024	70
ABT1	2038	2523	2188	2130	2434	2266	115
ABTB1	26	51	41	28	53	43	27
ABTB2	13	16	9	17	24	20	52
AC002456-2	2	1	1	1	0	1	7
AC003006-1	0	0	1	0	0	0	0
AC003688-1	0	0	0	0	0	0	0
AC005702-1	5	1	6	1	0	1	1
AC007040-2	0	0	0	0	0	0	0
AC010323-1	0	0	0	0	0	0	0
AC010522-1	3	5	4	5	2	2	4
AC011499-1	0	0	0	0	0	0	0
AC013477-1	1	0	3	0	0	0	0
AC018512-1	0	1	0	0	0	0	0
AC019117-1	0	1	0	0	0	1	5
AC020922-1	0	0	0	0	0	0	0
AC022384-1	0	0	0	0	0	0	0
AC026954-6	1	3	2	3	1	1	0
AC034228-3	0	2	0	0	0	4	0
AC040162-1	0	0	0	0	0	0	0
AC053503-6	0	0	0	0	0	0	0
AC068831-6	7	2	5	5	3	8	15
AC068946-1	0	0	0	1	0	0	0
AC078927-1	0	0	0	0	0	0	0
AC079741-2	2	7	2	1	3	4	11
AC091167-2	0	0	0	0	0	0	0
AC092854-1	0	0	0	0	0	0	0
AC093668-1	0	0	0	0	0	0	0
AC098650-1	0	0	0	0	0	1	0
