gene	rank
ALDOA	236.797259
ENO1	230.8864025
FTL	210.2593186
TPI1	181.4246823
CCNG1	181.223538
TKT	166.6541291
GSTP1	166.3936043
PKM	152.7314357
PAPSS1	147.5940551
BST2	146.2024631
RPS19	142.7608812
CD164	140.1783399
UQCRC1	136.2049703
AHCY	135.4100581
PAFAH1B2	132.1576402
GHITM	131.8977951
MSMO1	129.8696593
CAPZA1	128.578744
ATP5G2	128.2784676
STMN1	125.1613131
PRDX1	120.1582763
DDOST	119.6828598
KPNA2	119.288799
NGFRAP1	118.0969925
H3F3B	117.4941112
SLC25A5	117.1805606
OSTC	117.0559447
CA2	114.8098334
PPP1CB	114.6361488
UBC	113.790346
GLO1	113.4926816
EIF1	113.3062543
RPLP0	112.8721175
CD24	112.415552
UBB	112.347215
UBE2N	108.5866189
CAPZA2	107.5904013
BCAP31	106.9918278
PRDX3	106.9918257
PSMB1	106.0001593
C6orf62	105.8813362
GAPDH	105.8169754
LDHB	105.693834
SRP9	104.4706392
PPT1	103.9003633
MDH1	103.1866941
RPS14	102.2731169
CCT3	102.2169891
GPI	102.2043104
PRDX2	101.8380245
ANP32E	100.9579696
ARHGDIB	100.7469184
SUMO1	100.4567026
SERF2	98.99668805
CNBP	98.82698962
CTNNBL1	98.44739417
NR6A1	98.36385507
ARL6IP1	98.29494168
HSBP1	98.00306829
ID3	97.65899286
RPA2	96.20823605
ADSL	94.70637032
PSMB5	94.58478958
CDK1	94.21593174
VAMP5	93.65705446
HIST1H4C	93.50022716
LRRC75A.AS1	92.84447481
ABRACL	92.77973668
MORF4L2	92.55025129
MEIS1	92.54567302
RTCB	92.32350088
ARPC1A	91.43795371
CLIC1	91.11425307
WBP5	91.0813435
CDC42	90.92660817
SNRPC	89.89808036
MRPL10	89.85222498
MAGED2	89.80585758
ATP5F1	88.97709148
PSMA1	88.70944614
ATP6AP2	88.57865728
LPL	88.54486776
HMGB2	88.39050493
RPL29	88.21411395
STRAP	88.1389262
RNASE1	87.71806993
DNAJC8	86.43959409
CALM2	85.18355486
ID2	84.75313116
PSMA2	84.6820562
ERH	84.56150394
EIF3I	84.47195444
GLUL	84.23357873
ARF4	83.7321207
ATP6V1G1	83.13186811
C11orf58	82.83126679
ELOVL6	82.48529874
COPZ1	82.22879574
SEPW1	82.08189197
PIP4K2A	81.80435619
BROX	81.72688293
PGK1	81.52482173
IMPDH2	81.25340626
BRK1	81.15512884
CPVL	81.06225739
TAGLN2	80.90506017
SUMF2	80.78240812
UBE2V2	80.40024525
ATP5A1	80.10019609
ANAPC13	80.00069884
BNIP3L	79.98059864
PSMD14	79.83578322
PLIN2	79.35502927
RSL24D1	79.34704063
GDI2	79.28728861
NDUFA4	79.2710707
PTGES3	78.89124317
DBI	78.4838648
