gene	rank
HSPG2	280.2931721
LAMA4	247.9980626
ITGA6	190.0968787
SRRM2	184.1247753
ENG	178.7632299
PLXND1	177.7313564
PIEZO2	151.802954
SEMA5B	137.5700677
NOTCH1	132.2786121
APP	125.6404661
ATN1	123.5709916
CHD3	123.4430688
TGFBR2	123.3042932
PODXL	117.9202677
CLIC5	117.8239001
EPB41L3	115.5076945
KMT2D	112.475485
NAV3	109.225283
UTRN	107.8176367
AHNAK	103.1177811
DDX17	101.4104745
COL6A2	96.42714287
MCF2L	94.57460781
FMNL3	94.53264925
CCND1	92.26549727
PCDH1	91.78877714
DCHS1	91.69956907
PLEC	91.56312871
TNS2	90.42669502
ZNF423	89.98571269
MT.TF	86.04947442
TAOK2	85.77469564
PTPRO	84.32824911
FLRT2	83.74589607
NFAT5	81.79915035
NHSL2	80.72893071
PTPRM	79.81301621
SCAF4	79.46211524
PCDH9	79.32338707
TTYH3	78.70582335
FLT4	78.39160122
JUN	77.11982958
NR2F2	74.91865646
LAMB1	74.43236912
ATXN2L	71.7369817
PEAK1	70.97714093
DOCK9	70.94261903
PLEKHG2	70.88680652
TANC2	70.55249013
AHR	69.55628721
NCOR2	69.090292
LMO2	68.82669398
PPP1R13B	68.78031962
DOCK8	67.39206613
TMEM259	67.12178328
DYRK1A	66.28039508
ATP8A1	66.06964424
KIAA0895L	65.91976206
INTS1	65.34670657
ADARB1	65.03557012
PLEKHG5	64.91091978
LAMA5	64.90061638
ZMIZ1	64.88919453
ITGA2	64.38729412
STARD9	63.91747385
SOGA1	63.91604777
LRRC55	63.2529628
DAB2IP	63.13219687
C1orf21	62.22705964
TPCN1	62.19753283
SHROOM4	62.11668915
IGFBP7	60.8926974
FSCN1	60.21294755
SHANK3	60.19099701
SLC41A1	59.68958901
DPYSL3	59.67024145
ACTN4	59.42144661
ADGRA2	59.3712093
AKT2	58.71215842
HECW2	58.32404098
NYNRIN	58.05141075
EHD3	56.89753339
FBXL7	56.81912678
LUC7L	56.56450823
PCNXL3	56.23857334
MAPK8IP3	55.86525716
RAI1	55.59885699
MT.ND4L	55.5702902
LAMP1	55.45851279
SKI	55.37574418
CTC.444N24.7	55.37466559
KIAA1671	55.28061257
ZFHX3	55.22137366
ASAP2	54.98757699
SMAD3	54.50693248
COL4A2	54.28792923
CAPNS1	54.27658718
PIEZO1	54.13197266
CD93	54.00110573
SULF2	53.70566524
KLC1	53.55210971
MTSS1L	53.31911079
ATP11A	53.11799425
ADGRL1	53.1033389
ADAMTS7	52.55453754
GSK3B	52.45111705
ANKRD50	52.39149807
NFIC	52.15499876
BCL9L	52.05635125
HMCN1	51.48572037
PITPNM2	51.46845562
SDC3	51.27470735
NBEAL2	51.11739124
PPAP2B	51.10211013
IQSEC1	51.08425066
KDM5C	51.07559997
PDE8A	50.62113091
ARHGEF11	50.62074582
CLPTM1	50.52870728
NCK2	50.4914922
PIK3R6	50.47397813
GIT1	50.33946855
PRDM11	50.22455511
ARHGAP21	50.11511564
DENND3	50.00758696
EPAS1	49.90116538
FAM102A	49.89911471
HEG1	49.75464235
LRRC32	49.46686845
ETS2	49.43140104
TRIOBP	49.15133818
NID1	48.52518641
TRIO	47.83408857
MYO15B	47.79027621
MTRNR2L12	47.66054877
STIM2	47.57513826
PDE2A	47.0409911
SLC22A23	46.83248083
SYNJ1	46.80430592
SIPA1	46.77294131
PAX8.AS1	46.66078501
PRRC2A	46.59311024
LHFPL2	46.30781926
SACS	46.29567035
SNRNP70	46.06632591
NPNT	45.99743271
CACNA1C	45.89913656
FLNA	45.62853255
VWF	45.54072514
LAMC1	45.1632276
ADCY4	45.15597491
ZBED3	44.88188433
NAV1	44.55818285
CDC42BPB	44.48996131
IL17RD	44.44699944
SMTN	43.58777137
HCFC1	43.37240464
LIMS2	43.33290705
MACF1	43.09772025
MTMR9LP	42.9885643
MTND4P12	42.92976548
PEG10	42.74666019
NES	42.47116757
TRERF1	42.34518764
KCNN3	42.2754691
ZNF467	41.88840225
RNF44	41.86558521
ADGRL2	41.74025923
EP400	41.7197509
C2CD2	41.52827753
HDAC4	41.52671609
MGRN1	41.42653417
ALMS1	41.29289893
MYO1B	41.15461371
ARHGAP35	41.12186229
MTA1	41.08531656
ZNF407	40.97244908
BMP2K	40.76419742
MTRNR2L8	40.74544956
PREX1	40.57058867
NRIP1	40.50742567
ADAM15	40.49421408
PRKCH	40.33681644
PLXNB2	40.2195848
LRRC8C	40.01040116
ATXN7	39.99917119
TSC2	39.92730933
PKP4	39.90647024
SPEN	39.72458722
HID1	39.53051289
GPRC5A	39.44543769
SCUBE1	39.42311985
STAB1	39.29651811
STXBP1	39.281092
CARM1	39.23681434
PEAR1	39.05279433
AF127577.13	38.97408387
SZT2	38.96616334
MXRA5	38.96323394
GTF2I	38.88345149
ZNF592	38.86683055
WDFY3	38.85942155
AUTS2	38.66364935
YLPM1	38.59320417
CCDC88C	38.56369969
PHLDB1	38.48586382
LTBP4	38.2532408
RRBP1	38.18468667
CLSTN3	38.16557439
TMEM131	38.16363097
WFS1	38.15231909
INPPL1	37.94673371
MLLT4	37.78215096
TTC28	37.67663378
HIVEP3	37.49901675
ARHGEF12	37.34231653
ATP2A2	37.26945272
ARHGEF28	37.13136954
LDLRAD4	37.10275706
EGFL7	36.99546624
ALPK3	36.86561007
PLEKHA1	36.67724839
TDRP	36.41225159
MEG3	36.08566102
PHF2	36.08539364
TMEM185B	36.06384514
TLL1	36.03830955
CIC	36.01263785
RASSF9	35.96448459
HIPK2	35.86787752
ZNF609	35.82127154
EBF3	35.81395721
RAPGEF1	35.80090597
RAPGEF4	35.76344678
SHC2	35.73408469
JAG2	35.69081997
CAMSAP2	35.64903266
MARK2	35.60907149
CLSTN1	35.19586025
TJP1	35.17766523
EIF4G3	35.05388734
MAP3K11	34.96214698
HNRNPUL1	34.91216021
INF2	34.83768625
TNS1	34.83430734
URB1	34.78909946
NCOA6	34.76571735
HIVEP2	34.59669409
ZSWIM8	34.21526884
ZNF618	34.19201648
CHAMP1	34.09219424
TMEM63B	34.07258107
VPS13D	33.82719097
TTN	33.81503117
ABL1	33.77563629
RAPH1	33.76912627
VASH1	33.75365716
CPNE5	33.63802491
NCKAP5	33.63373257
GIMAP5	33.60930534
USP25	33.57645744
NDST1	33.49263718
FBRSL1	33.41529513
LTBP1	33.39355811
BTBD3	33.38895092
HIST1H1A	33.30951861
HECTD4	33.29096751
SGK223	33.15783245
A2M	33.00584132
CASKIN2	32.9332879
SFSWAP	32.81301177
PALD1	32.74095869
MBD6	32.63608682
PIP5K1C	32.61354513
CD36	32.6093261
CREB3L2	32.56906477
SAFB	32.46309668
AGRN	32.36750109
CTTNBP2	32.30920175
BMPR2	32.30062365
PNRC1	32.21040783
HOXA.AS2	32.11174398
WRNIP1	31.93145824
MN1	31.89228444
CTD.3080P12.3	31.85912403
KIAA0355	31.8063216
SEMA6D	31.73566612
MIR99AHG	31.72789089
ZNF503	31.70037634
AGAP3	31.6568848
NRP2	31.57524049
KSR1	31.530957
DGKE	31.423458
WBP1	31.34528069
SEMA4C	31.33517043
MEGF6	31.3111531
ABCG1	31.18168732
DNM2	31.17653811
PTBP1	31.09843451
CDH5	31.05978852
ELF4	31.04168147
ROBO3	31.0312095
ARHGAP31	30.90104878
ZNF142	30.88498847
DOCK4	30.88104491
PRRC2B	30.84681877
TRIM2	30.74548668
TMEM184B	30.72922247
TET3	30.71875472
PRR12	30.70477828
ARHGEF15	30.70309711
BACH2	30.6388186
THBD	30.6155872
KIAA1549	30.56156552
TP53I11	30.56070568
SMARCA2	30.51042435
DNM3	30.47476637
ABLIM1	30.4550062
LLGL1	30.45477797
