pos	neg
A1BG-AS1	A2ML1
A2M-AS1	ABCC12
AADAC	ABHD12B
AAMDC	AC002480.2
ABCA1	AC002480.4
ABCA4	AC004538.3
ABCA8	AC005062.2
ABCA9	AC005083.1
ABCB4	AC005276.1
ABI3	AC005307.1
ABO	AC005592.1
AC002463.3	AC005593.2
AC003986.6	AC006548.28
AC004540.4	AC007255.8
AC004540.5	AC007277.3
AC007040.11	AC007381.1
AC007392.3	AC007405.4
AC010084.1	AC007405.6
AC010729.1	AC008753.1
AC012499.1	AC008753.4
AC025171.1	AC009133.17
AC027612.6	AC009264.1
AC058791.1	AC011747.4
AC064853.2	AC016582.2
AC064853.3	AC016743.1
AC104654.2	AC023115.2
AC112721.1	AC073071.1
AC112721.2	AC074289.2
AC140912.1	AC079896.1
AC147651.4	AC092646.1
ACE2	AC098973.2
ACKR3	AC108676.1
ACPP	AC141928.1
ACTA2	AC142119.1
ACTBL2	ACBD7
ACVRL1	ACOXL
ADAM12	ACTA1
ADAM3A	ADAM8
ADAMTS17	ADAMTS16
ADAMTS18	ADAMTS19
ADAMTS2	ADCY5
ADAMTS7P3	ADCYAP1R1
ADAMTS7P4	ADGRD1
ADAMTS9	ADGRG3
ADAMTS9-AS1	ADRA2C
ADAMTSL1	AF131215.9
ADAMTSL3	AGPAT9
ADCY6	AHSP
ADGRA2	AICDA
ADGRE5	AIF1
ADGRF4	AIM1L
ADGRL4	AJAP1
ADHFE1	AL035610.2
ADORA1	AL354682.1
ADRA2A	ALDH1A3
ADTRP	ALDH3A2
AF127936.3	ALOX12P2
AHR	ALPL
AKAP4	ALPPL2
AKAP6	ANKEF1
AKR1B10	ANKRD1
AKR1B15	ANKRD18A
AKR1B1P1	ANKRD18CP
AKR1C1	ANO9
AKR1C3	ANXA3
AKR1C7P	AP000654.5
AL031587.1	AP000688.29
AL161668.5	AP001258.4
ALCAM	AP002856.5
ALDH1A2	AP1M2
ALOX15B	AP1S3
ALOX5AP	AP3B2
ALX4	APELA
AMD1P3	ARFGEF3
AMPD3	ARHGAP40
ANGPT1	ARHGAP8
ANGPT2	ARHGAP9
ANGPTL4	ARHGEF5
ANO4	ARL4C
ANXA1	ARPC3P2
AP000640.10	ART5
AP000695.4	ASB5
AP000695.6	ASS1
AP1S2	ATP1A3
APOB	ATP1B2
AQP1	ATP8A1
AQP9	ATP8B4
ARHGAP15	AURKC
ARHGAP18	B3GALT5-AS1
ARHGDIB	B3GAT1
ARHGEF28	B3GNT7
ARHGEF3	BACH2
ARL4A	BCL2L14
ARRDC3-AS1	BEND4
ARSI	BSND
ART4	C10orf35
ASGR2	C10orf82
ASXL3	C10orf90
ATP2B3	C15orf48
ATP7B	C15orf65
BCO2	C16orf89
