gene	IWP	HED	HER	CD184
A1BG	-3.018332466	-3.45641535	-3.351623093	-2.194123097
A1CF	-0.515373197	-5.73394326	-5.753420706	-2.31227203
A2M	4.049388312	4.703126939	4.434863135	7.419713997
A2ML1	-4.694410969	-4.648349133	-4.084869592	-5.161287902
A3GALT2	-4.44458823	NA	-5.772625836	-3.718928271
A4GALT	-4.282040949	NA	NA	-2.10764577
A4GNT	NA	-6.382320885	-4.475910202	-6.586305089
AAAS	4.911702342	5.446443786	5.394503776	4.500775107
AACS	0.822157671	1.065306075	1.274679839	1.091527894
AADAC	-5.20767978	-5.295875961	NA	-3.897509202
AADACL2	NA	NA	NA	NA
AADACL3	NA	NA	NA	NA
AADACL4	NA	NA	NA	NA
AADAT	1.93066378	2.272176948	2.527697811	1.582385825
AAGAB	4.651577421	4.754202212	4.622070828	4.788413899
AAK1	1.031140594	1.866548165	1.830622671	2.385672018
AAMDC	3.23912733	3.167726773	3.156397001	3.132340198
AAMP	5.973745743	6.085685439	5.989259787	5.783320567
AANAT	-5.487159683	-4.085789706	-5.807972732	-4.278079063
AAR2	5.328083787	5.343968853	5.297738934	5.129431206
AARD	-3.252053515	-2.445971844	-2.157327673	-3.340268485
AARS2	1.652612286	0.726614511	0.959916714	1.615111698
AARSD1	-0.025828857	0.662803661	0.320653976	0.015807876
AASDH	2.738251399	2.859768667	2.89277261	2.17952455
AASDHPPT	3.922932286	4.377835823	4.445041412	3.397342116
AASS	4.523782776	5.469681491	5.540783942	4.476634705
AATF	1.998969639	1.52437656	1.651559773	1.448702154
AATK	-5.986121416	-6.548040642	-5.274411393	-3.224629051
ABAT	-0.179095746	-2.038908575	-2.099958614	-1.189699762
ABCA1	3.47895864	4.895470703	4.886865297	3.767227886
ABCA10	-1.836553808	-2.297364604	-2.213705977	-1.844934002
ABCA12	-4.650158517	-5.195810521	-4.639873862	-4.825948311
ABCA13	-6.716558477	-7.262238495	-6.611525976	-8.059591124
ABCA2	-4.380579376	-4.886343314	-4.5107644	-3.943925208
ABCA3	-1.982374877	-2.678771564	-2.466546067	0.412691977
ABCA4	-1.384715602	-0.565791313	-1.358459946	1.943610268
ABCA5	0.373482515	0.455154736	0.51872277	1.67395464
ABCA6	-2.599669031	-2.784690933	-2.227742619	-1.274406147
ABCA7	-2.604847757	-1.857079537	-1.671130854	-1.733971106
ABCA8	-1.188399301	-1.210979728	-3.341397085	-1.218965503
ABCA9	-1.031951677	-1.019737056	-1.28067839	-0.309362387
ABCB1	-5.48556418	-7.205825601	-4.087458754	-5.472634678
ABCB10	1.24352009	1.761853227	1.731256858	1.428209689
ABCB11	-6.266379963	-7.859781846	-8.104672231	NA
ABCB4	-1.959113076	-1.480624031	-1.416015988	-1.243171469
ABCB5	-4.901358413	-6.736545733	-5.556276574	-6.067126782
ABCB6	-1.568014464	-2.549493623	-2.951569774	-1.75607808
ABCB7	5.707512272	6.129086853	6.112397183	5.410140933
ABCB8	0.047944208	-1.407040393	-1.309781302	-0.005298383
ABCB9	-2.584436775	-2.341257384	-2.262824416	-2.502380902
ABCC1	-1.28024312	-1.261101172	-1.142843004	-0.480667756
ABCC10	1.536529733	0.90598478	0.988488467	1.976046474
ABCC11	-3.115212862	-3.632903929	-3.561853585	-4.232415344
ABCC12	-4.625805759	-2.882822517	-3.613215575	-3.204165913
ABCC2	0.877770036	-1.178154444	-1.414567366	-0.118388938
ABCC3	-2.836684675	-2.435420712	-2.601848075	-4.1483479
ABCC4	2.906619511	2.110198411	2.272785761	0.84687389
ABCC5	3.277838998	2.943290526	2.992037707	3.439837229
ABCC6	-4.373901377	NA	-5.250828481	-6.995004622
ABCC8	-6.636747485	-5.618391384	-6.801996926	NA
ABCC9	-5.505989269	-6.391046957	-7.626320332	-6.153305806
ABCD1	-2.579638058	-3.677068244	-4.438711413	-2.690071626
ABCD2	-6.582933821	-8.136012858	-5.945255248	-5.451142673
ABCD3	2.702437426	2.618796944	2.571227968	2.683946333
ABCD4	4.223633664	4.419889887	4.427273214	4.761520573
ABCE1	4.478474872	4.913092226	4.900772415	4.187876562
ABCF1	3.674035687	3.442746341	3.4695741	3.572161789
ABCF2	4.755331375	4.413601287	4.497317987	4.487417937
ABCF3	4.350600889	4.032010583	3.836643157	4.250541307
ABCG1	-2.845474808	-1.894268181	-1.831547847	0.235521814
ABCG2	-0.059316511	0.42292538	0.541114904	2.513083069
ABCG4	-6.969899823	-7.206452192	-8.265577752	-6.114933467
ABCG5	-3.898301107	-3.77222044	-3.483522642	-3.871675798
ABCG8	-3.259048887	-4.576140179	-6.040235323	-3.166304595
ABHD1	-3.118234693	-1.971373755	-2.092449237	-4.087275507
ABHD10	4.331621425	4.255138252	4.330549216	3.851159292
ABHD11	1.964603033	0.882358099	0.514471573	1.613230742
ABHD12	1.03632625	0.358593299	0.469242162	0.74183388
ABHD12B	-2.823244641	-3.934455311	-2.995513841	-3.449175942
ABHD13	2.491041658	1.96715974	2.076832033	2.425887105
