GeneID	IWP	HED	HER	CD184
3-Mar	0.678050712	0.279715953	0.282699726	0.580172952
4-Mar	-1.23539518	-1.598808716	-1.601143644	-1.54068957
5-Mar	0.591164188	0.76012632	0.766684387	1.022220027
6-Mar	1.757294812	1.992118138	2.021718523	1.779795329
7-Mar	1.664905042	1.624184692	1.640580802	1.59081442
8-Mar	-0.905905196	-1.034676958	-1.079036268	-0.925205203
9-Mar	-0.212392272	-0.432017663	-0.376407894	-0.167189261
10-Mar	-1.968929794	-1.475220657	-1.45277448	-1.41194708
11-Mar	-0.666730157	-0.396249598	-0.390997518	-0.552436538
1-Sep	-0.68486084	-0.584227575	-0.612884827	-0.565286365
2-Sep	2.278820907	2.199596276	2.204723849	2.331196686
3-Sep	-0.898702394	-0.913904989	-0.937440481	-0.909983329
4-Sep	-0.450785957	-0.445193514	-0.497268148	-0.834569958
5-Sep	-1.172061047	-1.173094182	-1.4603608	-1.173673708
6-Sep	0.903631614	1.172814246	1.202703794	0.88553574
7-Sep	1.755730321	1.805273156	1.779232984	1.70893007
8-Sep	0.536523532	0.288426739	0.283535531	0.582557744
9-Sep	0.61358412	0.387691405	0.408952745	0.556846243
10-Sep	0.991524628	1.119238677	1.091813866	1.254828096
11-Sep	1.547809616	1.348670554	1.371254584	1.422404189
12-Sep	-1.228879103	-1.557990786	-1.190652214	NA
14-Sep	-2.063359382	-2.291159466	-2.299903894	NA
15-Sep	1.84037527	2.058548568	2.036586588	1.819281478
1-Dec	-2.109759611	-2.443195849	NA	-1.801207928
5_8S_rRNA	NA	NA	NA	NA
5S_rRNA	-1.251644238	-1.19958729	-1.64551131	-1.054965837
7SK	-0.639939755	-0.140903183	-0.265820639	-0.371979501
A1BG	-0.901895761	-1.065599323	-1.024234431	-0.665048438
A1BG-AS1	-0.17184258	-0.284259688	-0.246408449	0.034392686
A1CF	-0.124106405	-1.751658131	-1.748792984	-0.691528002
A2M	1.225498211	1.39092068	1.317991289	2.227252041
A2M-AS1	0.299339555	0.624769412	0.69320437	0.385294071
A2ML1	-1.374374274	-1.426193746	-1.246284994	-1.562946031
A2ML1-AS1	NA	-1.12456009	NA	NA
A2ML1-AS2	NA	-1.26089963	-1.294870161	NA
A2MP1	-1.922579068	-1.113745295	-1.070730289	-0.799517975
A3GALT2	-1.293637259	NA	-1.749817185	-1.117728857
A4GALT	-1.241893588	NA	NA	-0.630838531
A4GNT	NA	-1.947756989	-1.365198294	-1.994565026
AA06	NA	NA	NA	NA
AAAS	1.500893358	1.614357158	1.607108408	1.352841943
AACS	0.273633673	0.295890495	0.367152123	0.329188994
AACSP1	-2.038397311	-2.299368351	-2.268858252	NA
AADAC	-1.555585398	-1.620704478	NA	-1.180344124
AADACL2	NA	NA	NA	NA
AADACL2-AS1	NA	NA	NA	-1.443327436
AADACL3	NA	NA	NA	NA
AADACL4	NA	NA	NA	NA
AADACP1	-1.813108587	-1.10503629	-1.064437354	-0.545806413
AADAT	0.608235501	0.658956355	0.743964894	0.473609236
AAED1	0.990813008	1.390235721	1.381572474	1.371281747
AAGAB	1.42283751	1.406070087	1.374779076	1.438782083
AAK1	0.329625689	0.536990107	0.53430601	0.716222555
AAMDC	0.995752248	0.928564639	0.933410777	0.940315479
AAMP	1.820848214	1.80698744	1.786329256	1.739643702
AANAT	-1.62420574	-1.251222063	-1.763237909	-1.276466975
AAR2	1.627906492	1.583779605	1.577992746	1.541048107
AARD	-0.975253057	-0.762115088	-0.667013125	-1.004025603
AARS	1.730253631	1.455317171	1.456997785	1.497320124
AARS2	0.521389067	0.193909311	0.272543349	0.483271778
AARSD1	0.01375387	0.174902994	0.079404282	0.00382348
AARSP1	NA	NA	NA	NA
AASDH	0.846409346	0.835894394	0.854091739	0.654906418
AASDHPPT	1.20538937	1.292984393	1.321242685	1.020107414
AASS	1.386839395	1.621652397	1.651074816	1.346278056
AATBC	-1.543477279	-1.194143958	-1.064906598	-1.3119591
AATF	0.628321148	0.434103094	0.480649396	0.433999355
AATK	-1.813550073	-1.991330426	-1.606194358	-0.964364491
AATK-AS1	NA	NA	-1.501559852	-1.645202405
AB015752.3	-1.233666182	-0.930319498	-1.200839394	-1.492451559
AB019438.66	NA	NA	NA	NA
AB019440.50	NA	NA	NA	NA
AB019441.29	NA	NA	NA	NA
ABALON	-0.25701061	-0.604198015	-0.481739994	-0.243933599
ABAT	-0.029844753	-0.638585865	-0.64867718	-0.359295227
ABBA01017803.1	-0.949316642	-0.863745966	-0.905506809	-0.70635129
ABC12-47043100G14.2	NA	NA	NA	NA
ABC12-47964100C23.1	NA	NA	NA	NA
ABC12-49244600F4.4	NA	NA	NA	NA
ABC14-1080714F14.1	NA	NA	NA	NA
ABC7-42391500H16.3	NA	NA	NA	NA
ABC7-42404400C24.1	-2.552921487	-2.512862531	NA	-2.124593941
ABC7-42418200C9.1	NA	NA	NA	-2.267965004
ABC7-481722F1.1	NA	NA	NA	NA
ABCA1	1.07845838	1.44874596	1.453915919	1.132116503
ABCA10	-0.532277548	-0.716530493	-0.682621359	-0.557011827
ABCA11P	-0.338161725	0.033371577	0.03370793	-0.143398993
ABCA12	-1.403253104	-1.589727887	-1.414403056	-1.459792455
ABCA13	-2.007445258	-2.212872585	-2.006129959	-2.408905508
ABCA17P	-2.628340306	-2.203541948	-2.526112556	-2.247323425
ABCA2	-1.310572789	-1.496061846	-1.375948329	-1.180782038
ABCA3	-0.564901127	-0.831346129	-0.759742754	0.119964537
ABCA4	-0.397752254	-0.19542348	-0.425528335	0.58288657
ABCA5	0.135273061	0.112210022	0.139212245	0.501819704
ABCA6	-0.761280717	-0.863242916	-0.687044624	-0.39101962
ABCA7	-0.763592146	-0.584281433	-0.519590885	-0.517043577
ABCA8	-0.338266193	-0.390423537	-1.022546419	-0.362936561
ABCA9	-0.295447404	-0.33171426	-0.402204131	-0.099123977
ABCA9-AS1	-0.151322241	-0.106379073	-0.150848757	0.250886918
ABCB1	-1.61438681	-2.196396308	-1.24959771	-1.635251414
ABCB10	0.398605575	0.505124413	0.504207376	0.427231654
ABCB10P1	NA	NA	NA	NA
ABCB10P3	NA	NA	NA	NA
ABCB10P4	NA	NA	NA	NA
ABCB11	-1.872165556	-2.386203875	-2.451833101	NA
ABCB4	-0.570475733	-0.470270151	-0.443631513	-0.376013726
ABCB5	-1.437320874	-2.051152517	-1.688991934	-1.830527346
ABCB6	-0.445428456	-0.792648174	-0.905564171	-0.530142534
ABCB7	1.740355602	1.820278296	1.823389655	1.626818318
ABCB8	0.038311354	-0.447864215	-0.411132868	-0.003053714
ABCB9	-0.758266496	-0.729145097	-0.698902263	-0.754279377
ABCC1	-0.366834056	-0.404160522	-0.360881874	-0.14395261
ABCC10	0.483831295	0.248231382	0.281077861	0.592740574
ABCC11	-0.923117175	-1.119356062	-1.089298449	-1.269503234
ABCC12	-1.380228935	-0.892677863	-1.103618359	-0.965902149
ABCC13	-2.840786409	-2.235713833	NA	-2.760799524
ABCC2	0.294059003	-0.379033455	-0.442788021	-0.035846565
ABCC3	-0.811364109	-0.757831409	-0.799411437	-1.244074574
ABCC4	0.895842149	0.610637706	0.667653737	0.255523088
ABCC5	1.006822805	0.861157144	0.883884765	1.033152665
ABCC5-AS1	-0.737800941	-1.441624493	-0.912633032	-1.100666568
ABCC6	-1.299856306	NA	-1.597229043	-2.099760829
ABCC6P1	-0.332678182	-1.510146379	-1.770589637	-0.931108909
ABCC6P2	NA	NA	NA	NA
ABCC8	-1.991375571	-1.716591515	-2.068288094	NA
ABCC9	-1.645032182	-1.951239008	-2.309713067	-1.850972124
ABCD1	-0.744344028	-1.132043758	-1.351714096	-0.807925271
ABCD1P2	NA	NA	NA	NA
ABCD1P3	NA	NA	NA	NA
ABCD1P4	NA	NA	NA	NA
ABCD1P5	NA	NA	NA	NA
ABCD2	-1.984214983	-2.469357696	-1.810383151	-1.641636721
ABCD3	0.834925172	0.763414786	0.757602352	0.803886977
ABCD4	1.29320639	1.305634655	1.315907537	1.430547846
